price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,age_of_house,yr_renovated_filled,has_been_renovated,predicted_price
490000.0,2.0,2.5,1230,1391,2.0,0,0,3,870,360,2004-01-01,2003-01-01,106 24th Ave E,Seattle,WA 98112,21,2003-01-01 00:00:00,1,375824.72770072304
341000.0,3.0,1.5,1720,7119,1.5,0,0,4,1720,0,1952-01-01,,17050 14th Avenue Northeast,Shoreline,WA 98155,73,0,0,456223.90202292445
235000.0,1.0,1.0,810,2451,1.0,0,0,5,810,0,1941-01-01,,9413 34th Ave SW,Seattle,WA 98126,84,0,0,363014.99045189645
560000.0,3.0,2.0,2560,216777,1.0,0,0,3,2560,0,1986-01-01,,19211 SE 342nd St,Auburn,WA 98092,39,0,0,474129.16028609104
900000.0,4.0,3.25,4700,38412,2.0,0,0,3,3420,1280,1978-01-01,,3709 131st Ave NE,Bellevue,WA 98005,47,0,0,876574.1573016867
255000.0,2.0,1.0,1220,2500,1.0,0,0,3,770,450,1910-01-01,2006-01-01,3017 SW Hinds St,Seattle,WA 98126,115,2006-01-01 00:00:00,1,407081.0336399273
876650.0,3.0,3.25,2170,12508,1.5,0,0,5,1650,520,1928-01-01,1970-01-01,4436-4446 W Mercer Way,Mercer Island,WA 98040,97,1970-01-01 00:00:00,1,647520.1624343195
540000.0,4.0,2.25,2540,228254,1.0,0,0,3,1450,1090,1990-01-01,2009-01-01,31907 NE 139th St,Duvall,WA 98019,35,2009-01-01 00:00:00,1,443449.2145843812
350000.0,2.0,1.0,910,4500,1.5,0,0,4,910,0,1906-01-01,1990-01-01,4430 Letitia Ave S,Seattle,WA 98118,119,1990-01-01 00:00:00,1,426831.91604603257
750000.0,4.0,2.5,2980,4930,2.0,0,0,3,2890,90,2000-01-01,,16512 SE 64th Pl,Bellevue,WA 98006,25,0,0,581519.8475892505
582000.0,4.0,1.75,2120,4650,1.0,0,1,3,1190,930,1951-01-01,1994-01-01,9214 Cyrus Ave NW,Seattle,WA 98117,74,1994-01-01 00:00:00,1,449367.68463761854
372500.0,5.0,3.0,2480,10090,1.0,0,0,3,1300,1180,2004-01-01,2003-01-01,5537 S 119th St,Seattle,WA 98178,21,2003-01-01 00:00:00,1,429184.0028560403
410000.0,3.0,2.25,2200,16921,2.0,0,0,3,2200,0,1987-01-01,2000-01-01,21709 SE 255th Pl,Maple Valley,WA 98038,38,2000-01-01 00:00:00,1,512136.75151697523
360000.0,4.0,2.0,1730,5500,1.0,0,0,5,1010,720,1943-01-01,,7953 14th Ave SW,Seattle,WA 98106,82,0,0,449084.6592207424
1015000.0,3.0,2.5,2920,34527,1.0,0,4,4,1800,1120,1954-01-01,1983-01-01,5220 SW Pritchard St,Seattle,WA 98116,71,1983-01-01 00:00:00,1,645012.951259987
225000.0,3.0,1.0,990,8012,1.0,0,0,4,990,0,1966-01-01,,16411 120th Ave SE,Renton,WA 98058,59,0,0,278415.0136487599
647000.0,4.0,2.5,3040,6887,2.0,0,0,3,3040,0,1999-01-01,,215 243rd Ave SE,Sammamish,WA 98074,26,0,0,592644.035303652
950000.0,5.0,3.0,4530,258746,1.5,0,0,4,3200,1330,2003-01-01,,20325 NE 198th St,Woodinville,WA 98077,22,0,0,753334.4304958414
185000.0,3.0,1.5,1370,8470,1.0,0,0,4,1370,0,1961-01-01,2001-01-01,2420 Dogwood St SE,Auburn,WA 98092,64,2001-01-01 00:00:00,1,366256.3529104293
335000.0,3.0,2.5,1940,4927,2.0,0,0,3,1940,0,2004-01-01,2003-01-01,17217 Woodside Dr SE,Renton,WA 98058,21,2003-01-01 00:00:00,1,457385.2186270301
210000.0,3.0,2.5,1040,2643,2.0,0,0,3,720,320,2004-01-01,2003-01-01,5145 S Roxbury St,Seattle,WA 98118,21,2003-01-01 00:00:00,1,324998.6844546229
522000.0,4.0,2.25,1800,8623,1.0,0,0,4,1360,440,1980-01-01,,11725 NE 102nd Pl,Kirkland,WA 98033,45,0,0,389935.03672564426
770000.0,3.0,1.75,1720,5000,1.0,0,0,3,1720,0,1954-01-01,2014-01-01,1614 33rd Ave,Seattle,WA 98122,71,2014-01-01 00:00:00,1,416265.9403386151
499950.0,3.0,1.0,980,6380,1.0,0,0,3,760,220,1941-01-01,1994-01-01,1733 NE 88th St,Seattle,WA 98115,84,1994-01-01 00:00:00,1,300484.0507194154
751000.0,4.0,2.5,3110,6142,2.0,0,0,3,3110,0,2004-01-01,2003-01-01,11461-11577 172nd Ave NE,Redmond,WA 98052,21,2003-01-01 00:00:00,1,600883.5407920274
330000.0,5.0,3.0,2100,7715,1.0,0,0,3,1250,850,2013-01-01,1923-01-01,1047-1099 S 130th St,Burien,WA 98168,12,1923-01-01 00:00:00,1,363968.01843441685
465000.0,3.0,1.5,2020,11358,1.0,0,0,4,1190,830,1956-01-01,,11618 NE 65th St,Kirkland,WA 98033,69,0,0,451571.72318200127
850000.0,4.0,1.75,2350,11914,1.0,0,0,4,2350,0,1961-01-01,2001-01-01,8223 SE 71st St,Mercer Island,WA 98040,64,2001-01-01 00:00:00,1,491881.1290092085
947500.0,4.0,2.25,3290,12329,1.5,0,0,4,3290,0,1968-01-01,,9202 SE 46th St,Mercer Island,WA 98040,57,0,0,659075.3969057805
302000.0,5.0,2.25,2180,7813,2.0,0,0,3,2180,0,1986-01-01,,26405 218th Ave SE,Maple Valley,WA 98038,39,0,0,457170.1482034653
500000.0,2.0,2.25,1290,1334,3.0,0,0,3,1290,0,2007-01-01,,5900 20th Ave NW,Seattle,WA 98107,18,0,0,430593.89291921403
201000.0,3.0,1.0,1460,9750,1.0,0,0,4,1460,0,1969-01-01,,30928 148th Ave SE,Kent,WA 98042,56,0,0,340720.83153509616
265000.0,2.0,1.0,1290,2828,2.0,0,0,3,1290,0,2008-01-01,,23549 NE 111th St,Redmond,WA 98053,17,0,0,318687.1981782925
870300.0,4.0,2.5,2350,3150,1.5,0,0,4,1690,660,1910-01-01,,4410 Burke Ave N,Seattle,WA 98103,115,0,0,621686.9878429103
339000.0,3.0,1.0,1080,8100,1.0,0,0,4,1080,0,1955-01-01,2009-01-01,20248 20th Ave NE,Shoreline,WA 98155,70,2009-01-01 00:00:00,1,315583.6545460922
690000.0,4.0,2.5,2670,13463,2.0,0,0,4,2670,0,1989-01-01,,24127 SE 45th Pl,Issaquah,WA 98029,36,0,0,576802.2787106659
788000.0,4.0,3.25,3680,5759,2.0,0,0,3,2840,840,2003-01-01,,570 Wilderness Peak Dr NW,Issaquah,WA 98027,22,0,0,696740.0914716613
315275.0,3.0,1.75,1440,8040,1.0,0,0,3,960,480,1951-01-01,1994-01-01,11521 22nd Ave NE,Seattle,WA 98125,74,1994-01-01 00:00:00,1,375418.536568329
505000.0,4.0,1.75,1940,4800,1.0,0,0,5,1030,910,1922-01-01,1956-01-01,414 14th Ave,Seattle,WA 98122,103,1956-01-01 00:00:00,1,508176.0817652255
368000.0,3.0,1.0,1280,9898,1.0,0,0,3,1280,0,1968-01-01,1997-01-01,13222 NE 193rd Pl,Woodinville,WA 98072,57,1997-01-01 00:00:00,1,301653.3082652027
947500.0,3.0,2.75,2980,27144,1.5,1,2,5,2180,800,1917-01-01,,Indian Trail,Burien,WA 98166,108,0,0,680977.3389401328
156000.0,3.0,1.0,970,8580,1.0,0,0,3,970,0,1959-01-01,1989-01-01,29621 18th Ave S,Federal Way,WA 98003,66,1989-01-01 00:00:00,1,272029.85853038105
610000.0,4.0,3.0,2110,5000,1.5,0,2,4,1640,470,1930-01-01,,9319 45th Ave SW,Seattle,WA 98136,95,0,0,586562.5033711059
420000.0,2.0,2.5,1480,1369,3.0,0,0,3,1480,0,2009-01-01,,8107 165th Ave NE,Redmond,WA 98052,16,0,0,464016.8381236031
192000.0,2.0,1.0,700,10540,1.0,0,0,3,700,0,1953-01-01,,124 SW 185th St,Normandy Park,WA 98166,72,0,0,260692.48605691915
910000.0,3.0,2.0,2700,6120,1.0,0,0,4,1350,1350,1962-01-01,,124 NE 61st St,Seattle,WA 98115,63,0,0,552547.050343636
840000.0,4.0,2.75,2600,2750,1.5,0,0,3,1620,980,1936-01-01,,2455 Queen Anne Ave N,Seattle,WA 98109,89,0,0,599679.7896200281
300000.0,2.0,1.75,1360,8100,1.0,0,0,3,860,500,1975-01-01,,13730 2nd Ave NW,Seattle,WA 98177,50,0,0,342215.27532634157
505000.0,4.0,2.5,2780,6369,1.0,0,0,3,1590,1190,1978-01-01,,9311 NE 142nd St,Kirkland,WA 98034,47,0,0,513415.30181969295
110000.0,3.0,1.0,1250,53143,1.0,0,0,5,1250,0,1945-01-01,,19693-19799 SE Maple Valley Hwy,Maple Valley,WA 98038,80,0,0,368324.8970118819
746000.0,3.0,2.5,2620,8950,2.0,0,0,3,2620,0,1992-01-01,,16580 SE 57th Pl,Bellevue,WA 98006,33,0,0,567778.7460595827
211000.0,3.0,1.5,1350,7620,1.0,0,0,5,1350,0,1941-01-01,,16251 12th Ave SW,Burien,WA 98166,84,0,0,411003.52994757984
675000.0,4.0,3.0,2400,3340,1.0,0,0,4,1200,1200,1964-01-01,,618 NW 49th St,Seattle,WA 98107,61,0,0,522119.63921241224
734200.0,4.0,2.5,2760,5000,1.5,0,0,5,1680,1080,1928-01-01,1970-01-01,950 NW 60th St,Seattle,WA 98107,97,1970-01-01 00:00:00,1,673706.6331119023
615000.0,2.0,1.75,2040,28593,1.5,1,3,4,2040,0,1919-01-01,1990-01-01,23014 Vashon Hwy SW,Vashon,WA 98070,106,1990-01-01 00:00:00,1,528695.8151986309
630000.0,4.0,2.0,1770,6000,2.0,0,0,5,1770,0,1911-01-01,1981-01-01,3219 34th Ave W,Seattle,WA 98199,114,1981-01-01 00:00:00,1,584310.9916048155
301500.0,2.0,1.5,830,1333,2.0,0,0,3,830,0,2005-01-01,,5650 Fauntleroy Way SW,Seattle,WA 98136,20,0,0,276755.0662278915
369000.0,2.0,2.5,980,895,2.0,0,0,3,670,310,2009-01-01,,1716 California Ave SW,Seattle,WA 98116,16,0,0,326128.8257008497
635000.0,3.0,2.5,1570,1433,3.0,0,0,3,1570,0,2010-01-01,,7815 Stroud Ave N,Seattle,WA 98103,15,0,0,451280.08259199874
1033888.0,4.0,3.25,3270,5187,2.0,0,0,3,3110,160,2014-01-01,,10774 155th Pl NE,Redmond,WA 98052,11,0,0,627824.3963689794
383000.0,4.0,2.5,2160,6223,2.0,0,0,3,2160,0,2010-01-01,,22442-22446 Southeast 281st Court,Maple Valley,WA 98038,15,0,0,448698.51002838835
1050000.0,4.0,3.75,3280,11000,2.0,0,0,3,2320,960,2008-01-01,,1313 4th St,Kirkland,WA 98033,17,0,0,648554.6857937943
455000.0,4.0,2.5,3360,7685,2.0,0,0,3,3360,0,2001-01-01,,18416 172nd Ct SE,Renton,WA 98058,24,0,0,635158.776889685
819900.0,5.0,2.75,3150,7119,2.0,0,0,3,3150,0,2013-01-01,1923-01-01,8082-8160 142nd Ave NE,Redmond,WA 98052,12,1923-01-01 00:00:00,1,577348.0785497935
625000.0,3.0,3.5,1810,1846,2.0,0,0,4,1440,370,2009-01-01,,512-598 21st Ave,Seattle,WA 98122,16,0,0,479422.1433644765
651000.0,4.0,2.5,2740,7140,2.0,0,0,3,2740,0,1993-01-01,,2476 239th Pl NE,Sammamish,WA 98074,32,0,0,559456.7020974469
480000.0,5.0,4.75,3830,35000,1.0,0,0,3,2130,1700,1976-01-01,,18125 194th Ave NE,Woodinville,WA 98077,49,0,0,720776.6057003741
757000.0,3.0,3.25,3190,5283,2.0,0,0,3,3190,0,2007-01-01,,2065 NE Nelson Ln,Issaquah,WA 98029,18,0,0,653594.4595221265
460000.0,3.0,2.25,2350,10450,1.0,0,0,3,1390,960,1977-01-01,2004-01-01,15801 63rd Ave NE,Kenmore,WA 98028,48,2004-01-01 00:00:00,1,476659.36997027724
267345.0,4.0,2.25,2510,8165,1.0,0,0,4,1610,900,1972-01-01,,2831 SW 327th St,Federal Way,WA 98023,53,0,0,499482.74666562636
530000.0,2.0,2.0,1680,4950,1.0,0,0,3,1680,0,2006-01-01,,23726 NE 134th Pl,Redmond,WA 98053,19,0,0,352798.6139165861
449500.0,3.0,2.0,1770,6610,1.0,0,0,4,960,810,1954-01-01,1979-01-01,19293 Stone Ave N,Shoreline,WA 98133,71,1979-01-01 00:00:00,1,444844.23720568785
289000.0,3.0,1.0,1090,7315,1.0,0,0,5,1090,0,1981-01-01,,4018 NE 6th Ct,Renton,WA 98056,44,0,0,289536.0132033322
373000.0,5.0,2.5,3001,5710,2.0,0,0,3,3001,0,2006-01-01,,25523 123rd Pl SE,Kent,WA 98030,19,0,0,551716.4387750863
525000.0,5.0,3.0,2450,4591,2.0,0,0,3,2450,0,1994-01-01,,7349 24th Ave NW,Seattle,WA 98117,31,0,0,511418.75257599854
777000.0,3.0,3.25,3610,59677,2.0,0,0,3,2440,1170,2003-01-01,,18913 SE 63rd Pl,Issaquah,WA 98027,22,0,0,703556.728215075
550000.0,4.0,2.0,2250,7500,1.0,0,0,5,1200,1050,1956-01-01,,2448 137th Ave SE,Bellevue,WA 98005,69,0,0,498463.5001782614
523000.0,3.0,1.5,1240,7735,1.0,0,0,4,1240,0,1957-01-01,2001-01-01,1020 163rd Ave SE,Bellevue,WA 98008,68,2001-01-01 00:00:00,1,354213.7021953902
628000.0,4.0,2.0,2260,6000,1.0,0,0,3,1430,830,1958-01-01,2004-01-01,8028 27th Ave NE,Seattle,WA 98115,67,2004-01-01 00:00:00,1,463072.7623876473
581000.0,4.0,1.75,2090,8164,1.0,0,0,4,1070,1020,1963-01-01,,7408 138th Pl NE,Redmond,WA 98052,62,0,0,433702.5263117645
245000.0,5.0,1.75,2020,7902,1.0,0,0,3,1220,800,1962-01-01,2003-01-01,10412 Aqua Way S,Seattle,WA 98168,63,2003-01-01 00:00:00,1,388923.51653359405
415000.0,3.0,1.75,1960,5000,1.0,0,0,5,980,980,1911-01-01,1984-01-01,4958 12th Ave S,Seattle,WA 98108,114,1984-01-01 00:00:00,1,552178.4372545513
225000.0,3.0,1.5,1250,7500,1.0,0,0,3,1250,0,1967-01-01,2011-01-01,1405 E Maple St,Kent,WA 98030,58,2011-01-01 00:00:00,1,318097.1517901991
287000.0,3.0,2.25,1490,9600,1.0,0,0,4,1170,320,1987-01-01,,27020 NE Ring St,Duvall,WA 98019,38,0,0,359402.47738846316
799200.0,6.0,3.0,2890,2370,2.5,0,0,3,2290,600,1906-01-01,2014-01-01,420 Boylston Ave E,Seattle,WA 98102,119,2014-01-01 00:00:00,1,725138.2334233958
239950.0,3.0,1.0,1900,33888,1.5,0,0,4,1900,0,1942-01-01,1982-01-01,36400-36452 51st Ave S,Auburn,WA 98001,83,1982-01-01 00:00:00,1,484010.48417540785
591000.0,3.0,1.75,1680,2400,1.0,0,0,5,870,810,1922-01-01,1956-01-01,1600-1608 25th Ave,Seattle,WA 98122,103,1956-01-01 00:00:00,1,496216.5393771861
700000.0,3.0,2.5,2030,8398,2.0,0,0,4,2030,0,1975-01-01,,18307 NE 19th Pl,Bellevue,WA 98008,50,0,0,532304.8664233267
475000.0,4.0,2.5,3740,8700,1.0,0,0,3,2260,1480,2004-01-01,2003-01-01,16700 SE 161st St,Renton,WA 98058,21,2003-01-01 00:00:00,1,611352.071080734
575000.0,3.0,1.75,1580,11750,1.0,0,0,4,1180,400,1951-01-01,1999-01-01,5461 S Othello St,Seattle,WA 98118,74,1999-01-01 00:00:00,1,417383.93507365324
771000.0,3.0,2.25,1780,6120,1.5,0,0,4,1390,390,1927-01-01,,171 Lake Washington Blvd,Seattle,WA 98122,98,0,0,529694.0162356435
155000.0,2.0,1.0,910,6232,1.0,0,0,3,910,0,1943-01-01,2002-01-01,4812 S Chicago St,Seattle,WA 98118,82,2002-01-01 00:00:00,1,313692.15518502827
550000.0,7.0,4.0,3440,8100,2.0,0,0,3,3440,0,1970-01-01,2014-01-01,718 N 95th St,Seattle,WA 98103,55,2014-01-01 00:00:00,1,688421.7469770586
645000.0,3.0,2.5,1740,13750,2.0,0,0,4,1740,0,1975-01-01,,1673 Rosemont Blvd,Bellevue,WA 98008,50,0,0,490434.1786448983
464000.0,5.0,2.5,3400,8970,1.0,0,0,4,1700,1700,1959-01-01,,14700 Burke Ave N,Shoreline,WA 98133,66,0,0,624518.4977523647
1050000.0,4.0,3.25,4400,16625,2.0,0,0,3,4400,0,2003-01-01,,27747 SE 24th Way,Sammamish,WA 98075,22,0,0,808712.2143044705
350000.0,3.0,2.5,2010,14298,2.0,0,0,3,2010,0,1977-01-01,2004-01-01,10711 SW 111th Pl,Vashon,WA 98070,48,2004-01-01 00:00:00,1,510892.48977797595
591000.0,4.0,2.25,2710,38180,2.0,0,0,4,2710,0,1977-01-01,,19615 182nd Ave NE,Woodinville,WA 98077,48,0,0,591081.9020976487
717000.0,3.0,1.5,1310,3880,1.0,0,0,3,1090,220,1956-01-01,2001-01-01,7325 Earl Ave NW,Seattle,WA 98117,69,2001-01-01 00:00:00,1,342375.4625612874
225000.0,4.0,1.5,1950,12559,1.5,0,0,3,1950,0,1939-01-01,1969-01-01,4030-4198 S 186th St,SeaTac,WA 98188,86,1969-01-01 00:00:00,1,471139.9833569118
225000.0,3.0,1.0,1040,6535,1.0,0,0,3,1040,0,1947-01-01,2012-01-01,12446 21st Ave S,Seattle,WA 98168,78,2012-01-01 00:00:00,1,301772.04916385724
345000.0,3.0,1.75,1090,7200,1.0,0,0,3,1090,0,1968-01-01,1997-01-01,12033 NE 136th Pl,Kirkland,WA 98034,57,1997-01-01 00:00:00,1,303047.29001504584
230000.0,2.0,0.75,650,5360,1.0,0,0,4,650,0,1931-01-01,,13540 Burke Ave N,Seattle,WA 98133,94,0,0,301531.355808637
385000.0,3.0,2.0,1480,6600,1.0,0,2,3,740,740,1943-01-01,2002-01-01,4115 SW 106th St,Seattle,WA 98146,82,2002-01-01 00:00:00,1,411718.4474893555
90000.0,2.0,1.0,790,2640,1.0,0,0,3,790,0,1973-01-01,2013-01-01,14710 122nd Pl NE,Kirkland,WA 98034,52,2013-01-01 00:00:00,1,247762.56976634514
860000.0,4.0,2.5,3560,11119,1.0,0,2,3,2290,1270,1986-01-01,,3883 112th Ave NE,Bellevue,WA 98004,39,0,0,621754.7739935606
675000.0,4.0,2.5,3000,5548,2.0,0,0,3,3000,0,2006-01-01,,11409 SE 71st Pl,Newcastle,WA 98056,19,0,0,575573.4353289201
975000.0,4.0,2.5,3490,7494,2.0,0,3,3,3490,0,2000-01-01,,4902 159th Pl SE,Bellevue,WA 98006,25,0,0,671765.953462901
780000.0,3.0,1.75,2340,10495,1.0,0,0,4,2340,0,1967-01-01,,8421 SE 72nd Pl,Mercer Island,WA 98040,58,0,0,498405.5098704305
370000.0,3.0,1.75,1650,8254,1.0,0,0,5,1060,590,1951-01-01,,18015 25th Ave NE,Shoreline,WA 98155,74,0,0,440382.9880600516
665000.0,3.0,2.0,1940,5820,1.5,0,0,5,1150,790,1944-01-01,,324 NW 48th St,Seattle,WA 98107,81,0,0,532096.9053125
675000.0,5.0,3.0,3410,9600,1.0,0,0,4,1870,1540,1968-01-01,,2830 177th Ave NE,Redmond,WA 98052,57,0,0,631994.0227939241
620000.0,3.0,1.0,1710,4050,1.5,0,0,3,1710,0,1909-01-01,2004-01-01,6101-6149 Corliss Ave N,Seattle,WA 98103,116,2004-01-01 00:00:00,1,491307.3847283736
450000.0,3.0,2.75,1250,892,2.0,0,0,3,1040,210,2010-01-01,,2301 California Ave SW,Seattle,WA 98116,15,0,0,349789.69955860457
450000.0,3.0,2.25,2450,42180,1.0,0,0,4,2450,0,1978-01-01,2000-01-01,17081-17183 SE Wax Rd,Covington,WA 98042,47,2000-01-01 00:00:00,1,519491.53199180454
530000.0,3.0,1.75,1690,8190,1.0,0,0,4,1690,0,1958-01-01,1972-01-01,2711 126th Ave SE,Bellevue,WA 98005,67,1972-01-01 00:00:00,1,426479.1469023562
635000.0,4.0,1.75,1950,13320,1.0,0,0,4,1370,580,1969-01-01,,15018 NE 10th Pl,Bellevue,WA 98007,56,0,0,408530.270701896
580000.0,5.0,2.0,2290,7125,1.0,0,0,3,1190,1100,1964-01-01,2000-01-01,16541 NE 27th Pl,Bellevue,WA 98008,61,2000-01-01 00:00:00,1,430447.79518951016
285000.0,3.0,1.0,1090,8640,1.0,0,0,4,1090,0,1973-01-01,,16014 16th Ave SW,Burien,WA 98166,52,0,0,281270.8799211163
375000.0,3.0,1.0,1190,9486,1.0,0,0,4,1190,0,1953-01-01,1983-01-01,217 SW 191st St,Normandy Park,WA 98166,72,1983-01-01 00:00:00,1,334514.8851504615
560000.0,3.0,1.0,1440,5000,2.0,0,0,3,1440,0,1910-01-01,2006-01-01,6206 Phinney Ave N,Seattle,WA 98103,115,2006-01-01 00:00:00,1,482340.3512904004
405000.0,4.0,1.75,2180,13529,1.0,0,0,3,1090,1090,1956-01-01,2001-01-01,16722 32nd Pl NE,Lake Forest Park,WA 98155,69,2001-01-01 00:00:00,1,441973.8030037054
413000.0,4.0,1.0,1410,6000,1.0,0,0,3,810,600,1925-01-01,2002-01-01,4118 32nd Ave SW,Seattle,WA 98126,100,2002-01-01 00:00:00,1,359903.09967328
287600.0,3.0,2.5,1950,8251,2.0,0,0,3,1950,0,1990-01-01,2009-01-01,4222 S 288th Pl,Auburn,WA 98001,35,2009-01-01 00:00:00,1,481460.428979558
225000.0,3.0,1.0,1660,7210,1.0,0,0,3,1100,560,1963-01-01,2008-01-01,29140 42nd Ave S,Auburn,WA 98001,62,2008-01-01 00:00:00,1,358046.97375480144
319000.0,3.0,1.0,1390,12823,1.0,0,0,4,1390,0,1968-01-01,,15846 196th Pl NE,Woodinville,WA 98077,57,0,0,332134.1266753853
322500.0,3.0,2.0,1350,14200,1.0,0,0,3,1350,0,1989-01-01,,14405 274th Ct NE,Duvall,WA 98019,36,0,0,308713.0414234568
570000.0,3.0,2.0,1530,5401,1.0,0,0,4,1530,0,1937-01-01,,7741 22nd Ave NE,Seattle,WA 98115,88,0,0,441168.6070615127
465000.0,3.0,1.5,1270,5112,1.0,0,0,3,1270,0,1950-01-01,2005-01-01,3616 NE 65th St,Seattle,WA 98115,75,2005-01-01 00:00:00,1,348861.7355213567
435000.0,4.0,2.25,2140,6355,2.0,0,0,3,2140,0,2002-01-01,,7125 Silent Creek Ave SE,Snoqualmie,WA 98065,23,0,0,449406.0661522792
502000.0,4.0,2.5,2040,5616,2.0,0,0,3,2040,0,2012-01-01,1912-01-01,7617 NE 201st Pl,Kenmore,WA 98028,13,1912-01-01 00:00:00,1,434614.9078614809
525000.0,3.0,3.5,2876,5086,2.0,0,0,3,2360,516,2007-01-01,,12467 NE 171st Pl,Woodinville,WA 98072,18,0,0,612254.3168333475
525000.0,3.0,2.5,1580,1161,2.0,0,0,3,1010,570,2008-01-01,,213 26th Ave E,Seattle,WA 98112,17,0,0,386732.12655637413
660000.0,4.0,3.5,3400,5196,2.0,0,0,3,3400,0,2012-01-01,1912-01-01,9314 Ash Ave SE,Snoqualmie,WA 98065,13,1912-01-01 00:00:00,1,667331.393541386
870000.0,4.0,2.5,3520,6773,2.5,0,0,3,2650,870,2006-01-01,,7921 45th Ave SW,Seattle,WA 98136,19,0,0,671482.3513016764
650000.0,4.0,2.5,2210,4861,2.0,0,0,3,2210,0,2013-01-01,1923-01-01,615 NW 92nd St,Seattle,WA 98117,12,1923-01-01 00:00:00,1,457377.2290037242
505000.0,4.0,2.5,2790,5602,2.0,0,0,3,2790,0,2009-01-01,,5138 NE 8th St,Renton,WA 98059,16,0,0,540597.2768327902
330000.0,3.0,2.5,1450,5008,1.0,0,0,3,840,610,2007-01-01,,6544 18th Ave SW,Seattle,WA 98106,18,0,0,306261.157488512
385000.0,4.0,1.75,1620,4980,1.0,0,0,4,860,760,1947-01-01,1988-01-01,10037 Interlake Ave N,Seattle,WA 98133,78,1988-01-01 00:00:00,1,401990.1322003495
306000.0,3.0,1.5,1220,1086,3.0,0,0,3,1220,0,2007-01-01,,353 N 105th St,Seattle,WA 98133,18,0,0,368159.03449211386
546000.0,3.0,1.75,2000,5000,1.0,0,0,4,1110,890,1921-01-01,,7730 33rd Ave NW,Seattle,WA 98117,104,0,0,515036.8643030993
925000.0,4.0,2.5,2190,7350,2.5,0,0,5,2190,0,1958-01-01,,3446 77th Ave SE,Mercer Island,WA 98040,67,0,0,611679.725688604
542000.0,4.0,1.75,1900,8250,1.0,0,0,4,950,950,1955-01-01,2009-01-01,3810 145th Ave SE,Bellevue,WA 98006,70,2009-01-01 00:00:00,1,426668.3247116271
800000.0,3.0,1.0,1700,4400,1.5,0,0,4,1700,0,1906-01-01,1990-01-01,1109 32nd Ave,Seattle,WA 98122,119,1990-01-01 00:00:00,1,515990.3615980913
620000.0,5.0,2.5,2540,3832,2.0,0,0,5,1760,780,1929-01-01,,7558 32nd Ave NW,Seattle,WA 98117,96,0,0,645122.4289855274
175000.0,2.0,1.0,1170,8925,1.0,0,2,3,1170,0,1911-01-01,1979-01-01,921 S 223rd St,Des Moines,WA 98198,114,1979-01-01 00:00:00,1,413889.91641004663
740000.0,5.0,5.0,5774,31675,1.0,0,2,3,4490,1284,1984-01-01,,28511 10th Ave S,Federal Way,WA 98003,41,0,0,1011442.7429980049
345000.0,3.0,2.25,2120,15003,2.0,0,0,3,2120,0,1984-01-01,,14319 165th Pl SE,Renton,WA 98059,41,0,0,499368.33285548585
